Year,Country,% AI talent concentration
2016,IN,0.024900000000000002
2017,IN,0.0298
2018,IN,0.0355
2019,IN,0.044800000000000006
2020,IN,0.0632
2021,IN,0.09570000000000001
2016,IL,0.0161
2017,IL,0.018500000000000003
2018,IL,0.0215
2019,IL,0.0262
2020,IL,0.032799999999999996
2021,IL,0.041100000000000005
2016,GR,0.0085
2017,GR,0.0088
2018,GR,0.0095
2019,GR,0.010700000000000001
2020,GR,0.0134
2021,GR,0.0165
2016,DE,0.0072
2017,DE,0.008
2018,DE,0.0096
2019,DE,0.012199999999999999
2020,DE,0.0167
2021,DE,0.023799999999999998
2016,TR,0.006999999999999999
2017,TR,0.008100000000000001
2018,TR,0.0097
2019,TR,0.0118
2020,TR,0.015
2021,TR,0.018500000000000003
2016,FI,0.0066
2017,FI,0.0074
2018,FI,0.0087
2019,FI,0.0102
2020,FI,0.0125
2021,FI,0.015700000000000002
2016,SA,0.0059
2017,SA,0.0062
2018,SA,0.0068000000000000005
2019,SA,0.008
2020,SA,0.010700000000000001
2021,SA,0.014199999999999999
2016,CH,0.0055000000000000005
2017,CH,0.0062
2018,CH,0.0072
2019,CH,0.0087
2020,CH,0.011200000000000002
2021,CH,0.0147
2016,HR,0.0049
2017,HR,0.0051
2018,HR,0.005699999999999999
2019,HR,0.006500000000000001
2020,HR,0.0083
2021,HR,0.0111
2016,LU,0.0044
2017,LU,0.005
2018,LU,0.0055000000000000005
2019,LU,0.0063
2020,LU,0.0070999999999999995
2021,LU,0.0095
2016,BG,0.0042
2017,BG,0.0044
2018,BG,0.005
2019,BG,0.005600000000000001
2020,BG,0.0070999999999999995
2021,BG,0.0084
2016,IE,0.0040999999999999995
2017,IE,0.0049
2018,IE,0.006
2019,IE,0.0077
2020,IE,0.0101
2021,IE,0.013600000000000001
2016,NO,0.0040999999999999995
2017,NO,0.0048
2018,NO,0.005699999999999999
2019,NO,0.0070999999999999995
2020,NO,0.0091
2021,NO,0.0128
2016,EE,0.0040999999999999995
2017,EE,0.0046
2018,EE,0.005699999999999999
2019,EE,0.0070999999999999995
2020,EE,0.0088
2021,EE,0.011899999999999999
2016,SE,0.0039000000000000003
2017,SE,0.0044
2018,SE,0.0052
2019,SE,0.0062
2020,SE,0.0078000000000000005
2021,SE,0.0106
2016,ES,0.0039000000000000003
2017,ES,0.0044
2018,ES,0.0053
2019,ES,0.0063
2020,ES,0.0079
2021,ES,0.0103
2016,AT,0.0039000000000000003
2017,AT,0.004
2018,AT,0.0045000000000000005
2019,AT,0.0054
2020,AT,0.0077
2021,AT,0.011000000000000001
2016,IT,0.0038
2017,IT,0.0042
2018,IT,0.0048
2019,IT,0.005699999999999999
2020,IT,0.006999999999999999
2021,IT,0.0088
2016,DK,0.0034000000000000002
2017,DK,0.0036
2018,DK,0.004
2019,DK,0.004699999999999999
2020,DK,0.006
2021,DK,0.008
2016,CA,0.0033
2017,CA,0.0038
2018,CA,0.0045000000000000005
2019,CA,0.0058
2020,CA,0.008199999999999999
2021,CA,0.0124
2016,PL,0.0032
2017,PL,0.0037
2018,PL,0.0044
2019,PL,0.0054
2020,PL,0.0067
2021,PL,0.0086
2016,FR,0.0031
2017,FR,0.0034999999999999996
2018,FR,0.0040999999999999995
2019,FR,0.005
2020,FR,0.0064
2021,FR,0.0085
2016,RO,0.0031
2017,RO,0.0034000000000000002
2018,RO,0.0039000000000000003
2019,RO,0.005
2020,RO,0.0060999999999999995
2021,RO,0.0076
2016,CZ,0.0028000000000000004
2017,CZ,0.0032
2018,CZ,0.0038
2019,CZ,0.0045000000000000005
2020,CZ,0.005600000000000001
2021,CZ,0.0072
2016,GB,0.0028000000000000004
2017,GB,0.0032
2018,GB,0.0039000000000000003
2019,GB,0.0048
2020,GB,0.0064
2021,GB,0.0089
2016,PT,0.0028000000000000004
2017,PT,0.003
2018,PT,0.0034000000000000002
2019,PT,0.0039000000000000003
2020,PT,0.0048
2021,PT,0.0063
2016,US,0.0027
2017,US,0.0032
2018,US,0.0039000000000000003
2019,US,0.0048
2020,US,0.0066
2021,US,0.0096
2016,BE,0.0026
2017,BE,0.0028000000000000004
2018,BE,0.0032
2019,BE,0.0038
2020,BE,0.0049
2021,BE,0.0062
2016,LV,0.0026
2017,LV,0.0027
2018,LV,0.0031
2019,LV,0.0036
2020,LV,0.004699999999999999
2021,LV,0.0053
2016,AU,0.0026
2017,AU,0.0029
2018,AU,0.0036
2019,AU,0.0045000000000000005
2020,AU,0.0059
2021,AU,0.008
2016,SK,0.0025
2017,SK,0.0026
2018,SK,0.0028000000000000004
2019,SK,0.0032
2020,SK,0.0042
2021,SK,0.0051
2016,NL,0.0024
2017,NL,0.0027
2018,NL,0.0032
2019,NL,0.0039000000000000003
2020,NL,0.0053
2021,NL,0.0078000000000000005
2016,NZ,0.0021
2017,NZ,0.0024
2018,NZ,0.0029
2019,NZ,0.0037
2020,NZ,0.004699999999999999
2021,NZ,0.0060999999999999995
2016,LT,0.0016
2017,LT,0.0017000000000000001
2018,LT,0.0022
2019,LT,0.0028000000000000004
2020,LT,0.0038
2021,LT,0.0051
2016,MX,0.0015
2017,MX,0.0019
2018,MX,0.0025
2019,MX,0.0033
2020,MX,0.0044
2021,MX,0.0060999999999999995
2016,ID,0.0014000000000000002
2017,ID,0.0016
2018,ID,0.0019
2019,ID,0.0025
2020,ID,0.0034999999999999996
2021,ID,0.0054
2016,ZA,0.0013
2017,ZA,0.0015
2018,ZA,0.0018
2019,ZA,0.0024
2020,ZA,0.0032
2021,ZA,0.0044
2016,AR,0.0013
2017,AR,0.0016
2018,AR,0.002
2019,AR,0.0026
2020,AR,0.0034000000000000002
2021,AR,0.0046
2016,CL,0.0009
2017,CL,0.001
2018,CL,0.0013
2019,CL,0.0018
2020,CL,0.0023
2021,CL,0.0032
2016,CO,0.0009
2017,CO,0.0011
2018,CO,0.0015
2019,CO,0.0023
2020,CO,0.0034000000000000002
2021,CO,0.0052
2016,BR,0.0008
2017,BR,0.001
2018,BR,0.0012
2019,BR,0.0015
2020,BR,0.002
2021,BR,0.0028000000000000004
2016,ALL,0.0038
2017,ALL,0.0045000000000000005
2018,ALL,0.0055000000000000005
2019,ALL,0.0069
2020,ALL,0.0096
2021,ALL,0.0141