country_name,Value
India,3.15
United States,2.31
Germany,1.69
Israel,1.51
United Kingdom,1.33
Canada,1.31
China,1.18
Singapore,1.17
Japan,1.11
Greece,1.04
France,1.02
Average (male),1
Turkey,0.91
Spain,0.9
Korea,0.84
Norway,0.8
Netherlands,0.8
Poland,0.8
Australia,0.79
Finland,0.76
Brazil,0.73
Ireland,0.68
South Africa,0.66
Italy,0.65
Hong Kong (China),0.65
Sweden,0.65
Switzerland,0.63
United Arab Emirates,0.61
Austria,0.6
Denmark,0.59
Portugal,0.48
Belgium,0.48
Colombia,0.42
Hungary,0.38
Czech Republic,0.36
Mexico,0.34
Chile,0.29
New Zealand,0.25